Thailand|Southeast Asia|THA|61399000|Pak Kret|Nonthaburi|126055
Ukraine|Eastern Europe|UKR|50456000|Sevastopol|Krim|348000
South Africa|Southern Africa|ZAF|40377000|Roodepoort|Gauteng|279340
Argentina|South America|ARG|37032000|Lomas de Zamora|Buenos Aires|622013
Brazil|South America|BRA|170115000|Diadema|São Paulo|335078
Sweden|Nordic Countries|SWE|8861400|Gävle|Gävleborgs län|90742
Taiwan|Eastern Asia|TWN|22256000|Yangmei|Taoyuan|126323
Argentina|South America|ARG|37032000|Neuquén|Neuquén|167296
South Korea|Eastern Asia|KOR|46844000|Koyang|Kyonggi|518282
India|Southern and Central Asia|IND|1013662000|Pimpri-Chinchwad|Maharashtra|517083
Brazil|South America|BRA|170115000|Florianópolis|Santa Catarina|281928
Italy|Southern Europe|ITA|57680000|Torino|Piemonte|903705
Algeria|Northern Africa|DZA|31471000|Constantine|Constantine|443727
India|Southern and Central Asia|IND|1013662000|Tenali|Andhra Pradesh|143726
Japan|Eastern Asia|JPN|126714000|Sanda|Hyogo|105643
Japan|Eastern Asia|JPN|126714000|Toyohashi|Aichi|360066
Zambia|Eastern Africa|ZMB|9169000|Chingola|Copperbelt|142400
United States|North America|USA|278357000|Sacramento|California|407018
Nepal|Southern and Central Asia|NPL|23930000|Pokhara|Western|146318
Japan|Eastern Asia|JPN|126714000|Yamagata|Yamagata|255617
Argentina|South America|ARG|37032000|San Nicolás de los Arroyos|Buenos Aires|119302
Argentina|South America|ARG|37032000|Malvinas Argentinas|Buenos Aires|290335
Vietnam|Southeast Asia|VNM|79832000|Long Xuyen|An Giang|132681
India|Southern and Central Asia|IND|1013662000|Achalpur|Maharashtra|96216
Mexico|Central America|MEX|98881000|Ciudad Valles|San Luis Potosí|146411
South Korea|Eastern Asia|KOR|46844000|Shihung|Kyonggi|133443
United Kingdom|British Islands|GBR|59623400|Manchester|England|430000
Brazil|South America|BRA|170115000|Juazeiro do Norte|Ceará|199636
Latvia|Baltic Countries|LVA|2424200|Daugavpils|Daugavpils|114829
India|Southern and Central Asia|IND|1013662000|Shahjahanpur|Uttar Pradesh|237713
Turkey|Middle East|TUR|66591000|Ordu|Ordu|133642
United States|North America|USA|278357000|Sunrise Manor|Nevada|95362
Mexico|Central America|MEX|98881000|Túxpam|Veracruz|126475
Morocco|Northern Africa|MAR|28351000|Casablanca|Casablanca|2940623
India|Southern and Central Asia|IND|1013662000|Jamnagar|Gujarat|341637
South Africa|Southern Africa|ZAF|40377000|Brakpan|Gauteng|171363
Japan|Eastern Asia|JPN|126714000|Fujieda|Shizuoka|126897
Nigeria|Western Africa|NGA|111506000|Shagamu|Ogun|117200
China|Eastern Asia|CHN|1277558000|Jiangyin|Jiangsu|213659
Iran|Southern and Central Asia|IRN|67702000|Zabol|Sistan va Baluchesta|100887
United States|North America|USA|278357000|Allentown|Pennsylvania|106632
South Korea|Eastern Asia|KOR|46844000|Anyang|Kyonggi|591106
China|Eastern Asia|CHN|1277558000|Luohe|Henan|126438
Nigeria|Western Africa|NGA|111506000|Abuja|Federal Capital Dist|350100
China|Eastern Asia|CHN|1277558000|Hailun|Heilongjiang|133565
Botswana|Southern Africa|BWA|1622000|Gaborone|Gaborone|213017
China|Eastern Asia|CHN|1277558000|Weinan|Shaanxi|140169
United States|North America|USA|278357000|Richmond|California|94100
Russian Federation|Eastern Europe|RUS|146934000|Votkinsk|Udmurtia|101700
Canada|North America|CAN|31147000|Winnipeg|Manitoba|618477
Japan|Eastern Asia|JPN|126714000|Kofu|Yamanashi|199753
China|Eastern Asia|CHN|1277558000|Xingcheng|Liaoning|102384
South Korea|Eastern Asia|KOR|46844000|Namwon|Chollabuk|103544
China|Eastern Asia|CHN|1277558000|Hefei|Anhui|1369100
United Kingdom|British Islands|GBR|59623400|Watford|England|113080
China|Eastern Asia|CHN|1277558000|Laiwu|Shandong|246833
Japan|Eastern Asia|JPN|126714000|Hadano|Kanagawa|166512
South Korea|Eastern Asia|KOR|46844000|Yongju|Kyongsangbuk|131097
Philippines|Southeast Asia|PHL|75967000|Koronadal|Southern Mindanao|133786
United Kingdom|British Islands|GBR|59623400|Hartlepool|England|92000
Brazil|South America|BRA|170115000|Jaboatão dos Guararapes|Pernambuco|558680
Japan|Eastern Asia|JPN|126714000|Chiba|Chiba|863930
China|Eastern Asia|CHN|1277558000|Dongtai|Jiangsu|192247
Netherlands|Western Europe|NLD|15864000|Eindhoven|Noord-Brabant|201843
Bangladesh|Southern and Central Asia|BGD|129155000|Narayanganj|Dhaka|202134
South Korea|Eastern Asia|KOR|46844000|Kongju|Chungchongnam|131229
Germany|Western Europe|DEU|82164700|Osnabrück|Niedersachsen|164539
Brazil|South America|BRA|170115000|Santa Cruz do Sul|Rio Grande do Sul|106734
Pakistan|Southern and Central Asia|PAK|156483000|Mingora|Nothwest Border Prov|174500
Morocco|Northern Africa|MAR|28351000|Mohammedia|Casablanca|154706
United States|North America|USA|278357000|Davenport|Iowa|98256
India|Southern and Central Asia|IND|1013662000|Munger (Monghyr)|Bihar|150112
India|Southern and Central Asia|IND|1013662000|Rohtak|Haryana|233400
Ecuador|South America|ECU|12646000|Ibarra|Imbabura|130643
Germany|Western Europe|DEU|82164700|Erfurt|Thüringen|201267
Japan|Eastern Asia|JPN|126714000|Ikeda|Osaka|102710
Brazil|South America|BRA|170115000|Duque de Caxias|Rio de Janeiro|746758
Japan|Eastern Asia|JPN|126714000|Tondabayashi|Osaka|125094
India|Southern and Central Asia|IND|1013662000|Raichur|Karnataka|157551
Jordan|Middle East|JOR|5083000|al-Rusayfa|al-Zarqa|137247
Netherlands|Western Europe|NLD|15864000|Delft|Zuid-Holland|95268
United States|North America|USA|278357000|El Paso|Texas|563662
India|Southern and Central Asia|IND|1013662000|Halisahar|West Bengali|114028
Senegal|Western Africa|SEN|9481000|Diourbel|Diourbel|99400
Puerto Rico|Caribbean|PRI|3869000|Caguas|Caguas|140502
Japan|Eastern Asia|JPN|126714000|Daito|Osaka|130594
Ukraine|Eastern Europe|UKR|50456000|Odesa|Odesa|1011000
Colombia|South America|COL|42321000|Popayán|Cauca|200719
Mexico|Central America|MEX|98881000|Benito Juárez|Quintana Roo|419276
Sri Lanka|Southern and Central Asia|LKA|18827000|Jaffna|Northern|149000
Netherlands Antilles|Caribbean|ANT|217000|Willemstad|Curaçao|2345
Philippines|Southeast Asia|PHL|75967000|Tacloban|Eastern Visayas|178639
India|Southern and Central Asia|IND|1013662000|Mahbubnagar|Andhra Pradesh|116833
India|Southern and Central Asia|IND|1013662000|Tiruppur (Tirupper)|Tamil Nadu|235661
Iran|Southern and Central Asia|IRN|67702000|Qaemshahr|Mazandaran|143286
India|Southern and Central Asia|IND|1013662000|Ramagundam|Andhra Pradesh|214384
Philippines|Southeast Asia|PHL|75967000|Marilao|Central Luzon|101017
France|Western Europe|FRA|59225700|Orléans|Centre|113126
South Africa|Southern Africa|ZAF|40377000|Germiston|Gauteng|164252
Sudan|Northern Africa|SDN|29490000|Nyala|Darfur al-Janubiya|227183
Mexico|Central America|MEX|98881000|Cajeme|Sonora|355679
Russian Federation|Eastern Europe|RUS|146934000|Zeleznogorsk|Kursk|96900
United States|North America|USA|278357000|Eugene|Oregon|137893
Sri Lanka|Southern and Central Asia|LKA|18827000|Dehiwala|Western|203000
Mexico|Central America|MEX|98881000|San Pedro Cholula|Puebla|99734
China|Eastern Asia|CHN|1277558000|Shaowu|Fujian|90286
Ukraine|Eastern Europe|UKR|50456000|Krasnyi Lutš|Lugansk|101000
Tajikistan|Southern and Central Asia|TJK|6188000|Dushanbe|Karotegin|524000
Myanmar|Southeast Asia|MMR|45611000|Henzada (Hinthada)|Irrawaddy [Ayeyarwad|104700
India|Southern and Central Asia|IND|1013662000|Sambalpur|Orissa|131138
Russian Federation|Eastern Europe|RUS|146934000|Solikamsk|Perm|106000
Egypt|Northern Africa|EGY|68470000|Kafr al-Shaykh|Kafr al-Shaykh|124819
Palestine|Middle East|PSE|3101000|Rafah|Rafah|92020
Brazil|South America|BRA|170115000|Lauro de Freitas|Bahia|109236
India|Southern and Central Asia|IND|1013662000|Bhind|Madhya Pradesh|109755
India|Southern and Central Asia|IND|1013662000|Bangalore|Karnataka|2660088
China|Eastern Asia|CHN|1277558000|Yangjiang|Guangdong|215196
Côte d’Ivoire|Western Africa|CIV|14786000|Daloa|Daloa|121842
Russian Federation|Eastern Europe|RUS|146934000|Sotši|Krasnodar|358600
Pakistan|Southern and Central Asia|PAK|156483000|Okara|Punjab|200901
China|Eastern Asia|CHN|1277558000|Shangqiu|Henan|164880
Argentina|South America|ARG|37032000|San Rafael|Mendoza|94651
Argentina|South America|ARG|37032000|San Salvador de Jujuy|Jujuy|178748
Romania|Eastern Europe|ROM|22455500|Cluj-Napoca|Cluj|332498
India|Southern and Central Asia|IND|1013662000|Patan|Gujarat|96109
China|Eastern Asia|CHN|1277558000|Huadian|Jilin|175873
Cuba|Caribbean|CUB|11201000|Manzanillo|Granma|109350
United States|North America|USA|278357000|Athens-Clarke County|Georgia|101489
Venezuela|South America|VEN|24170000|Ciudad Bolívar|Bolívar|301107
Brazil|South America|BRA|170115000|Jaraguá do Sul|Santa Catarina|102580
Japan|Eastern Asia|JPN|126714000|Beppu|Oita|127486
United States|North America|USA|278357000|Rancho Cucamonga|California|127743
India|Southern and Central Asia|IND|1013662000|Avadi|Tamil Nadu|183215
Ukraine|Eastern Europe|UKR|50456000|Lysytšansk|Lugansk|116000
Mexico|Central America|MEX|98881000|Ecatepec de Morelos|México|1620303
Brazil|South America|BRA|170115000|Rio de Janeiro|Rio de Janeiro|5598953
Philippines|Southeast Asia|PHL|75967000|Urdaneta|Ilocos|111582
Mexico|Central America|MEX|98881000|Pánuco|Veracruz|90551
Indonesia|Southeast Asia|IDN|212107000|Salatiga|Central Java|103000
Egypt|Northern Africa|EGY|68470000|Bahtim|al-Qalyubiya|275807
Gabon|Central Africa|GAB|1226000|Libreville|Estuaire|419000
Philippines|Southeast Asia|PHL|75967000|Cagayan de Oro|Northern Mindanao|461877
Sri Lanka|Southern and Central Asia|LKA|18827000|Negombo|Western|100000
United States|North America|USA|278357000|Arlington|Virginia|174838
India|Southern and Central Asia|IND|1013662000|Chennai (Madras)|Tamil Nadu|3841396
Japan|Eastern Asia|JPN|126714000|Ise|Mie|101732
Russian Federation|Eastern Europe|RUS|146934000|Abakan|Hakassia|169200
San Marino|Southern Europe|SMR|27000|Serravalle|Serravalle/Dogano|4802
Indonesia|Southeast Asia|IDN|212107000|Cilacap|Central Java|206900
China|Eastern Asia|CHN|1277558000|Linhai|Zhejiang|90870
Switzerland|Western Europe|CHE|7160400|Basel|Basel-Stadt|166700
Iran|Southern and Central Asia|IRN|67702000|Qomsheh|Esfahan|89800
United Kingdom|British Islands|GBR|59623400|Dudley|England|192171
Indonesia|Southeast Asia|IDN|212107000|Pematang Siantar|Sumatera Utara|203056
Turkey|Middle East|TUR|66591000|Edirne|Edirne|123383
United Kingdom|British Islands|GBR|59623400|Bristol|England|402000
United States|North America|USA|278357000|Gary|Indiana|102746
Turkey|Middle East|TUR|66591000|Bandirma|Balikesir|90200
Indonesia|Southeast Asia|IDN|212107000|Manado|Sulawesi Utara|332288
Canada|North America|CAN|31147000|Cape Breton|Nova Scotia|114733
Mexico|Central America|MEX|98881000|Almoloya de Juárez|México|110550
China|Eastern Asia|CHN|1277558000|Sanmenxia|Henan|120523
Azerbaijan|Middle East|AZE|7734000|Gäncä|Gäncä|299300
Argentina|South America|ARG|37032000|Berazategui|Buenos Aires|276916
Australia|Australia and New Zealand|AUS|18886000|Hobart|Tasmania|126118
Russian Federation|Eastern Europe|RUS|146934000|Veliki Novgorod|Novgorod|299500
China|Eastern Asia|CHN|1277558000|Xinzhou|Shanxi|98667
United Kingdom|British Islands|GBR|59623400|Swindon|England|180000
Mexico|Central America|MEX|98881000|Aguascalientes|Aguascalientes|643360
Uzbekistan|Southern and Central Asia|UZB|24318000|Karsi|Qashqadaryo|194100
Japan|Eastern Asia|JPN|126714000|Kasuga|Fukuoka|101344
Colombia|South America|COL|42321000|Villavicencio|Meta|273140
Nigeria|Western Africa|NGA|111506000|Ado-Ekiti|Ondo & Ekiti|359400
United States|North America|USA|278357000|El Monte|California|115965
United States|North America|USA|278357000|Houston|Texas|1953631
Russian Federation|Eastern Europe|RUS|146934000|Staryi Oskol|Belgorod|213800
India|Southern and Central Asia|IND|1013662000|Saharanpur|Uttar Pradesh|374945
Brazil|South America|BRA|170115000|Rondonópolis|Mato Grosso|155115
North Korea|Eastern Asia|PRK|24039000|Kaesong|Kaesong-si|171500
Costa Rica|Central America|CRI|4023000|San José|San José|339131
China|Eastern Asia|CHN|1277558000|Mianyang|Sichuan|262947
United Kingdom|British Islands|GBR|59623400|Exeter|England|111000
Japan|Eastern Asia|JPN|126714000|Aizuwakamatsu|Fukushima|119287
Pakistan|Southern and Central Asia|PAK|156483000|Sialkot|Punjab|417597
Indonesia|Southeast Asia|IDN|212107000|Bandung|West Java|2429000
Iraq|Middle East|IRQ|23115000|al-Ramadi|al-Anbar|192556
South Korea|Eastern Asia|KOR|46844000|Chongju|Chungchongbuk|531376
Venezuela|South America|VEN|24170000|Araure|Portuguesa|94269
Japan|Eastern Asia|JPN|126714000|Asahikawa|Hokkaido|364813
China|Eastern Asia|CHN|1277558000|Linyi|Shandong|324720
Philippines|Southeast Asia|PHL|75967000|Olongapo|Central Luzon|194260
Norway|Nordic Countries|NOR|4478500|Trondheim|Sør-Trøndelag|150166
Iran|Southern and Central Asia|IRN|67702000|Kashan|Esfahan|201372
Finland|Nordic Countries|FIN|5171300|Espoo|Newmaa|213271
India|Southern and Central Asia|IND|1013662000|Meerut Cantonment|Uttar Pradesh|94876
Vietnam|Southeast Asia|VNM|79832000|Biên Hoa|Dong Nai|282095
Mozambique|Eastern Africa|MOZ|19680000|Maxixe|Inhambane|93985
Ukraine|Eastern Europe|UKR|50456000|Krementšuk|Pultava|239000
Japan|Eastern Asia|JPN|126714000|Urayasu|Chiba|127550
United States|North America|USA|278357000|Warren|Michigan|138247
China|Eastern Asia|CHN|1277558000|Xinyu|Jiangxi|173524
Belgium|Western Europe|BEL|10239000|Gent|East Flanderi|224180
Côte d’Ivoire|Western Africa|CIV|14786000|Abidjan|Abidjan|2500000
China|Eastern Asia|CHN|1277558000|Zaoyang|Hubei|162198
China|Eastern Asia|CHN|1277558000|Taiyuan|Shanxi|1968400
Japan|Eastern Asia|JPN|126714000|Tomakomai|Hokkaido|171958
South Korea|Eastern Asia|KOR|46844000|Suwon|Kyonggi|755550
Marshall Islands|Micronesia|MHL|64000|Dalap-Uliga-Darrit|Majuro|28000
Ethiopia|Eastern Africa|ETH|62565000|Bahir Dar|Amhara|96140
India|Southern and Central Asia|IND|1013662000|Hapur|Uttar Pradesh|146262
China|Eastern Asia|CHN|1277558000|Ya´an|Sichuan|95900
Ukraine|Eastern Europe|UKR|50456000|Kyiv|Kiova|2624000
Bangladesh|Southern and Central Asia|BGD|129155000|Narsinghdi|Dhaka|98342
United States|North America|USA|278357000|Des Moines|Iowa|198682
China|Eastern Asia|CHN|1277558000|Guilin|Guangxi|364130
Italy|Southern Europe|ITA|57680000|Taranto|Apulia|208214
China|Eastern Asia|CHN|1277558000|Taonan|Jilin|150168
Japan|Eastern Asia|JPN|126714000|Fujisawa|Kanagawa|372840
United States|North America|USA|278357000|Waterbury|Connecticut|107271
United States|North America|USA|278357000|Spokane|Washington|195629
Iran|Southern and Central Asia|IRN|67702000|Qazvin|Qazvin|291117
Peru|South America|PER|25662000|Chimbote|Ancash|336000
United States|North America|USA|278357000|Fontana|California|128929
China|Eastern Asia|CHN|1277558000|Kaili|Guizhou|113958
Nigeria|Western Africa|NGA|111506000|Ondo|Ondo & Ekiti|173600
India|Southern and Central Asia|IND|1013662000|Delhi Cantonment|Delhi|94326
Nigeria|Western Africa|NGA|111506000|Ila|Oyo & Osun|264000
Philippines|Southeast Asia|PHL|75967000|Santa Cruz|Southern Tagalog|92694
Germany|Western Europe|DEU|82164700|Bielefeld|Nordrhein-Westfalen|321125
United States|North America|USA|278357000|Lansing|Michigan|119128
Russian Federation|Eastern Europe|RUS|146934000|Almetjevsk|Tatarstan|140700
Czech Republic|Eastern Europe|CZE|10278100|Olomouc|Severní Morava|102702
Australia|Australia and New Zealand|AUS|18886000|Townsville|Queensland|109914
Taiwan|Eastern Asia|TWN|22256000|Panchiao|Taipei|523850
Spain|Southern Europe|ESP|39441700|Fuenlabrada|Madrid|171173
Brazil|South America|BRA|170115000|Manaus|Amazonas|1255049
Brazil|South America|BRA|170115000|Cotia|São Paulo|140042
Spain|Southern Europe|ESP|39441700|Santa Cruz de Tenerife|Canary Islands|213050
Mexico|Central America|MEX|98881000|Navolato|Sinaloa|145396
China|Eastern Asia|CHN|1277558000|Liaocheng|Shandong|207844
Finland|Nordic Countries|FIN|5171300|Turku [Åbo]|Varsinais-Suomi|172561
Taiwan|Eastern Asia|TWN|22256000|Tainan|Tainan|728060
Taiwan|Eastern Asia|TWN|22256000|Yuanlin|Changhwa|126402
Nigeria|Western Africa|NGA|111506000|Kaduna|Kaduna|342200
Netherlands|Western Europe|NLD|15864000|Emmen|Drenthe|105853
Brazil|South America|BRA|170115000|Porto Velho|Rondônia|309750
Venezuela|South America|VEN|24170000|Maracay|Aragua|444443
Argentina|South America|ARG|37032000|Buenos Aires|Distrito Federal|2982146
United Kingdom|British Islands|GBR|59623400|Cheltenham|England|106000
United States|North America|USA|278357000|Minneapolis|Minnesota|382618
Saudi Arabia|Middle East|SAU|21607000|Tabuk|Tabuk|292600
Sweden|Nordic Countries|SWE|8861400|Jönköping|Jönköpings län|117095
Japan|Eastern Asia|JPN|126714000|Izumi|Osaka|166979
United Kingdom|British Islands|GBR|59623400|Birmingham|England|1013000
India|Southern and Central Asia|IND|1013662000|Dehri|Bihar|94526
Mexico|Central America|MEX|98881000|Temixco|Morelos|92686
Colombia|South America|COL|42321000|Bucaramanga|Santander|515555
Germany|Western Europe|DEU|82164700|Kassel|Hessen|196211
United States|North America|USA|278357000|Overland Park|Kansas|149080
Mexico|Central America|MEX|98881000|Taxco de Alarcón|Guerrero|99907
China|Eastern Asia|CHN|1277558000|Datong|Shanxi|800000
India|Southern and Central Asia|IND|1013662000|Muzaffarnagar|Uttar Pradesh|240609
United States|North America|USA|278357000|Las Vegas|Nevada|478434
Ukraine|Eastern Europe|UKR|50456000|Kamjanets-Podilskyi|Hmelnytskyi|109000
Peru|South America|PER|25662000|Callao|Callao|424294
Greece|Southern Europe|GRC|10545700|Pireus|Attika|182671
Mexico|Central America|MEX|98881000|Comalcalco|Tabasco|164640
Madagascar|Eastern Africa|MDG|15942000|Antsirabé|Antananarivo|120239
Guatemala|Central America|GTM|11385000|Villa Nueva|Guatemala|101295
Russian Federation|Eastern Europe|RUS|146934000|Vladivostok|Primorje|606200
Brazil|South America|BRA|170115000|Ibirité|Minas Gerais|125982
Malta|Southern Europe|MLT|380200|Valletta|Inner Harbour|7073
Japan|Eastern Asia|JPN|126714000|Aomori|Aomori|295969
Pakistan|Southern and Central Asia|PAK|156483000|Nawabshah|Sind|183100
New Zealand|Australia and New Zealand|NZL|3862000|Manukau|Auckland|281800
Japan|Eastern Asia|JPN|126714000|Isehara|Kanagawa|98123
China|Eastern Asia|CHN|1277558000|Chuzhou|Anhui|125341
Canada|North America|CAN|31147000|Saanich|British Colombia|101388
Japan|Eastern Asia|JPN|126714000|Amagasaki|Hyogo|481434
Brazil|South America|BRA|170115000|Viamão|Rio Grande do Sul|207557
Egypt|Northern Africa|EGY|68470000|Idfu|Qina|94200
Germany|Western Europe|DEU|82164700|Göttingen|Niedersachsen|124775
Taiwan|Eastern Asia|TWN|22256000|Chungli|Taoyuan|318649
United States|North America|USA|278357000|Naperville|Illinois|128358
China|Eastern Asia|CHN|1277558000|Sanya|Hainan|102820
United Kingdom|British Islands|GBR|59623400|Brighton|England|156124
Germany|Western Europe|DEU|82164700|Wolfsburg|Niedersachsen|121954
India|Southern and Central Asia|IND|1013662000|Yeotmal (Yavatmal)|Maharashtra|108578
Colombia|South America|COL|42321000|Sogamoso|Boyacá|107728
China|Eastern Asia|CHN|1277558000|Peking|Peking|7472000
Pakistan|Southern and Central Asia|PAK|156483000|Islamabad|Islamabad|524500
Nigeria|Western Africa|NGA|111506000|Akure|Ondo & Ekiti|162300
